reporting_week,reporting_date,product_pillar,product_group,gross_revenue_actual,net_revenue_actual,gross_revenue_budget,net_revenue_budget,gross_revenue_2_10_forecast,net_revenue_2_10_forecast
2024-05-13,2024-05-16,Money Management,issuing,454425.3345,216782.435,,,,
2023-09-18,2023-09-22,Money Management,issuing,356292.4431,126043.5073,,,,
2023-07-17,2023-07-18,Money Management,issuing,322057.2577,197317.6444,,,,
2023-02-13,2023-02-18,Money Management,issuing,326705.9655,118742.6614,,,,
2025-10-06,2025-10-08,Money Management,issuing,656579.7194,279641.316,,,,
2025-09-29,2025-10-05,Money Management,issuing,428334.8527,182430.4321,,,,
2025-05-26,2025-05-27,Money Management,issuing,436448.9939,226524.1843,,,,
2025-05-05,2025-05-07,Money Management,issuing,607467.2361,315285.4561,,,,
2025-03-03,2025-03-03,Money Management,issuing,627985.8029,261981.0128,,,,
2026-08-10,2026-08-16,Money Management,issuing,,,716606.1792,327747.1075,714410.6213,334349.2814
2025-09-22,2025-09-25,Money Management,issuing,601262.1413,260226.0134,,,,
2026-04-06,2026-04-12,Money Management,issuing,738436.3844,355517.2753,664446.2793,297859.5243,657610.518,309349.6254
2023-10-09,2023-10-13,Money Management,issuing,358874.905,193739.6062,,,,
2025-04-14,2025-04-17,Money Management,issuing,575275.7856,259381.5984,,,,
2024-10-14,2024-10-19,Money Management,issuing,484334.9969,189095.7903,,,,
2024-01-01,2024-01-01,Money Management,issuing,207996.7956,119151.6527,,,,
2023-07-17,2023-07-23,Money Management,issuing,228624.1478,140073.1616,,,,
2025-01-27,2025-01-28,Money Management,issuing,426112.3515,140045.6124,,,,
2023-01-30,2023-01-30,Money Management,issuing,160249.4935,59530.74057,,,,
2023-05-15,2023-05-18,Money Management,issuing,280469.8812,146411.6063,,,,
2023-05-08,2023-05-12,Money Management,issuing,296164.9455,154604.7841,,,,
2023-05-01,2023-05-06,Money Management,issuing,290370.779,151580.0984,,,,
2026-01-05,2026-01-05,Money Management,issuing,457571.0859,201347.6351,549404.9658,246355.5674,,
2025-03-17,2025-03-18,Money Management,issuing,508544.3768,212152.8389,,,,
2026-09-21,2026-09-26,Money Management,issuing,,,774404.0801,359095.2522,771229.0041,363733.0024
2025-12-01,2025-12-02,Money Management,issuing,1237979.04,564669.6506,,,,
2026-11-02,2026-11-05,Money Management,issuing,,,865313.3354,401279.554,835882.5777,374454.5188
2025-07-14,2025-07-17,Money Management,issuing,597655.6331,270368.1004,,,,
2026-05-25,2026-05-31,Money Management,issuing,,,653538.0313,288685.097,641463.8238,299627.0043
2024-01-29,2024-01-30,Money Management,issuing,335789.6382,192358.2054,,,,
2024-07-29,2024-08-01,Money Management,issuing,462658.7632,215696.4423,,,,
2024-07-01,2024-07-01,Money Management,issuing,356690.6437,175095.501,,,,
2023-02-27,2023-02-28,Money Management,issuing,291562.0652,105969.4626,,,,
2024-04-29,2024-04-29,Money Management,issuing,279636.5904,152806.3571,,,,
2026-07-13,2026-07-19,Money Management,issuing,,,668204.403,303611.0902,662116.414,308984.5094
2025-03-31,2025-03-31,Money Management,issuing,406912.26,169754.293,,,,
2025-03-17,2025-03-21,Money Management,issuing,574592.2229,239706.4581,,,,
2025-12-22,2025-12-24,Money Management,issuing,740548.5672,337780.5981,,,,
2026-04-20,2026-04-24,Money Management,issuing,,,594261.0078,266396.7074,588147.306,276673.1125
2023-10-02,2023-10-06,Money Management,issuing,365747.7878,197449.9509,,,,
2024-03-11,2024-03-13,Money Management,issuing,402705.9778,203285.3056,,,,
2025-06-09,2025-06-15,Money Management,issuing,430732.3265,177818.1904,,,,
2025-05-26,2025-06-01,Money Management,issuing,420971.0646,173788.4722,,,,
2024-08-26,2024-08-27,Money Management,issuing,425769.0225,198498.0523,,,,
2026-12-07,2026-12-12,Money Management,issuing,,,863793.108,399769.8785,817835.2278,386670.6226
2023-02-13,2023-02-14,Money Management,issuing,258957.2748,94119.11397,,,,
2025-05-19,2025-05-20,Money Management,issuing,538660.2024,279573.4774,,,,
2025-05-05,2025-05-08,Money Management,issuing,609778.1695,316484.8685,,,,
2023-05-22,2023-05-28,Money Management,issuing,186513.9012,97364.4648,,,,
2023-05-22,2023-05-24,Money Management,issuing,269135.2272,140494.6612,,,,
2023-03-06,2023-03-10,Money Management,issuing,337019.0671,161463.8381,,,,
2026-11-23,2026-11-25,Money Management,issuing,,,826196.0899,383139.3611,798095.7753,357526.975
2025-09-22,2025-09-22,Money Management,issuing,443987.5748,192157.6441,,,,
2025-09-01,2025-09-03,Money Management,issuing,696160.7946,301298.1124,,,,
2025-06-30,2025-07-02,Money Management,issuing,803847.1222,363645.2288,,,,
2023-10-23,2023-10-26,Money Management,issuing,342080.9418,184673.3389,,,,
2026-05-25,2026-05-29,Money Management,issuing,,,616075.3787,272136.8489,604693.299,282451.535
2026-05-18,2026-05-18,Money Management,issuing,,,656419.7738,289958.0392,644292.3257,300948.1942
2025-11-10,2025-11-12,Money Management,issuing,687766.3124,344745.6032,,,,
2024-03-11,2024-03-14,Money Management,issuing,400707.0776,202276.2642,,,,
2023-10-30,2023-11-03,Money Management,issuing,491222.9012,247635.5473,,,,
2023-02-20,2023-02-25,Money Management,issuing,331121.2384,120347.411,,,,
2024-12-09,2024-12-13,Money Management,issuing,569377.4908,257656.9076,,,,
2025-10-13,2025-10-15,Money Management,issuing,693464.3158,295350.6911,,,,
2025-01-06,2025-01-11,Money Management,issuing,440958.0247,144924.7748,,,,
2025-01-06,2025-01-09,Money Management,issuing,470356.9022,154586.9773,,,,
2025-02-17,2025-02-23,Money Management,issuing,419652.9233,220641.4415,,,,
2024-09-16,2024-09-17,Money Management,issuing,431977.1028,194426.2644,,,,
2025-08-04,2025-08-08,Money Management,issuing,603791.5995,264094.1142,,,,
2026-07-20,2026-07-26,Money Management,issuing,,,584359.6467,265514.6668,579035.5646,270213.8417
2025-03-10,2025-03-11,Money Management,issuing,515804.7584,215181.7006,,,,
2026-08-03,2026-08-04,Money Management,issuing,,,722231.7108,330320.0015,720018.9172,336974.0041
2026-02-23,2026-02-24,Money Management,issuing,673927.4415,316404.731,559016.5843,253603.9809,,
2025-04-07,2025-04-09,Money Management,issuing,589935.1075,265991.2254,,,,
2024-01-22,2024-01-22,Money Management,issuing,258799.4567,148254.1251,,,,
2025-06-23,2025-06-29,Money Management,issuing,419158.6913,173040.2745,,,,
2023-07-24,2023-07-30,Money Management,issuing,220278.7613,134960.1204,,,,
2023-02-20,2023-02-21,Money Management,issuing,253184.1118,92020.83351,,,,
2024-04-22,2024-04-25,Money Management,issuing,441352.7114,241175.5197,,,,
