reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_gross_revenue,estimated_fy25_2_10_forecast_gross_revenue,estimated_fy25_5_7_forecast_gross_revenue,estimated_fy25_8_4_forecast_gross_revenue,estimated_fy25_budget_gross_revenue,estimated_fy26_budget_gross_revenue
9/16/24,9/21/24,Money Management,Multicurrency Settlement,7.036709411,0,0,0,0,null
5/29/23,5/30/23,Money Management,Connect,18522.40652,0,0,0,0,null
1/8/24,1/14/24,Money Management,Connect,17147.75332,0,0,0,0,null
2/20/23,2/21/23,Money Management,Multicurrency Settlement,173032.5809,0,0,0,0,null
2/23/26,2/25/26,Money Management,Connect,1539646.337,0,0,0,0,1317125.088
9/4/23,9/8/23,Money Management,Instant Payouts,109233.2265,0,0,0,0,null
10/7/24,10/13/24,Money Management,Capital,120747.69,0,0,0,0,null
12/12/22,12/16/22,Money Management,Connect,247100.2597,0,0,0,0,null
9/20/21,9/21/21,Money Management,Instant Payouts,128843.7981,0,0,0,0,null
5/6/24,5/8/24,Money Management,Connect,58531.4717,0,0,0,0,null
9/12/22,9/14/22,Money Management,Capital,117565.0256,0,0,0,0,null
4/26/21,4/30/21,Money Management,Connect,2172726.896,0,0,0,0,null
1/16/23,1/21/23,Money Management,Connect,4059578.252,0,0,0,0,null
1/9/23,1/15/23,Money Management,Instant Payouts,184400.3046,0,0,0,0,null
3/6/23,3/8/23,Money Management,Multicurrency Settlement,101204.9423,0,0,0,0,null
12/16/24,12/19/24,Money Management,Capital,443771.4,0,0,0,0,null
4/20/26,4/22/26,Money Management,Instant Payouts,null,0,0,0,0,414531.9102
2/16/26,2/22/26,Money Management,Multicurrency Settlement,57225.5003,0,0,0,0,123817.206
1/31/22,2/4/22,Money Management,Connect,547747.8571,0,0,0,0,null
2/20/23,2/20/23,Money Management,Capital,71390.42244,0,0,0,0,null
9/18/23,9/20/23,Money Management,Connect,1584.765413,0,0,0,0,null
3/30/26,4/3/26,Money Management,Capital,null,0,0,0,0,328240.9069
12/11/23,12/16/23,Money Management,Connect,16076.21319,0,0,0,0,null
9/5/22,9/10/22,Money Management,Connect,26383.10967,0,0,0,0,null
8/28/23,8/28/23,Money Management,Multicurrency Settlement,239564.215,0,0,0,0,null
12/9/19,12/10/19,Money Management,Instant Payouts,null,0,0,0,0,null
10/16/23,10/22/23,Money Management,Instant Payouts,52776.55454,0,0,0,0,null
12/16/24,12/21/24,Money Management,Connect,25310.6788,0,0,0,0,null
12/25/23,12/25/23,Money Management,Instant Payouts,35063.60229,0,0,0,0,null
10/12/26,10/15/26,Money Management,Capital,null,0,0,0,0,566508.2642
4/20/26,4/21/26,Money Management,Capital,null,0,0,0,0,378536.0211
11/8/21,11/14/21,Money Management,Capital,18365.61,0,0,0,0,null
4/10/23,4/11/23,Money Management,Multicurrency Settlement,283093.6408,0,0,0,0,null
10/21/24,10/26/24,Money Management,Instant Payouts,102127.2655,0,0,0,0,null
12/11/23,12/11/23,Money Management,Connect,29412.17368,0,0,0,0,null
8/14/23,8/15/23,Money Management,Multicurrency Settlement,143412.9302,0,0,0,0,null
7/19/21,7/21/21,Money Management,Instant Payouts,116857.8673,0,0,0,0,null
6/9/25,6/14/25,Money Management,Capital,83854.23,0,0,0,0,109025.5448
2/24/25,2/28/25,Money Management,Instant Payouts,277803.5184,0,0,0,0,370374.3304
2/17/25,2/21/25,Money Management,Instant Payouts,175336.1081,0,0,0,0,451574.3838
7/21/25,7/24/25,Money Management,Multicurrency Settlement,309124.2319,0,0,0,0,306196.7341
5/26/25,5/29/25,Money Management,Connect,1214599.073,0,0,0,0,1015262.923
9/27/21,10/3/21,Money Management,Instant Payouts,160643.7634,0,0,0,0,null
3/14/22,3/17/22,Money Management,Instant Payouts,176267.0544,0,0,0,0,null
1/30/23,1/30/23,Money Management,Connect,693740.5998,0,0,0,0,null
4/3/23,4/5/23,Money Management,Multicurrency Settlement,78284.33165,0,0,0,0,null
8/23/21,8/27/21,Money Management,Connect,125342.4535,0,0,0,0,null
4/19/21,4/21/21,Money Management,Connect,349216.1812,0,0,0,0,null
12/12/22,12/18/22,Money Management,Connect,497436.2268,0,0,0,0,null
12/11/23,12/15/23,Money Management,Connect,-99350.68375,0,0,0,0,null
11/28/22,12/3/22,Money Management,Capital,64776.6733,0,0,0,0,null
11/15/21,11/16/21,Money Management,Connect,686008.2809,0,0,0,0,null
9/12/22,9/15/22,Money Management,Capital,175056.751,0,0,0,0,null
1/24/22,1/27/22,Money Management,Connect,525440.8364,0,0,0,0,null
11/21/22,11/22/22,Money Management,Connect,837863.9681,0,0,0,0,null
2/20/23,2/25/23,Money Management,Capital,84079.9973,0,0,0,0,null
11/15/21,11/21/21,Money Management,Capital,22202.34,0,0,0,0,null
6/23/25,6/25/25,Money Management,Connect,1172609.719,0,0,0,0,1256490.893
3/13/23,3/14/23,Money Management,Connect,810817.9108,0,0,0,0,null
9/15/25,9/20/25,Money Management,Capital,101008.34,0,0,0,0,104867.8909
8/31/26,9/1/26,Money Management,Multicurrency Settlement,null,0,0,0,0,405971.0055
3/24/25,3/24/25,Money Management,Multicurrency Settlement,423954.8748,0,0,0,0,460912.669
3/17/25,3/19/25,Money Management,Connect,77135.7628,0,0,0,0,1090445.433
9/12/22,9/13/22,Money Management,Capital,141523.6733,0,0,0,0,null
9/19/22,9/19/22,Money Management,Capital,143555.8277,0,0,0,0,null
8/22/22,8/28/22,Money Management,Instant Payouts,176290.3565,0,0,0,0,null
4/3/23,4/9/23,Money Management,Connect,373996.9422,0,0,0,0,null
9/26/22,10/1/22,Money Management,Capital,-97938.93144,0,0,0,0,null
1/3/22,1/8/22,Money Management,Instant Payouts,159680.9489,0,0,0,0,null
4/3/23,4/3/23,Money Management,Capital,224418.9034,0,0,0,0,null
5/25/26,5/28/26,Money Management,Capital,null,0,0,0,0,533592.772
3/3/25,3/5/25,Money Management,Connect,158178.6188,0,0,0,0,1511700.053
6/17/24,6/17/24,Money Management,Connect,50461.82752,0,0,0,0,null
9/5/22,9/6/22,Money Management,Multicurrency Settlement,169289.5357,0,0,0,0,null
10/27/25,10/29/25,Money Management,Capital,242797.3741,0,0,0,0,316119.1097
2/24/25,2/24/25,Money Management,Multicurrency Settlement,408554.7251,0,0,0,0,446806.0328
12/21/26,12/25/26,Money Management,Multicurrency Settlement,null,0,0,0,0,284864.9068
12/22/25,12/22/25,Money Management,Multicurrency Settlement,653854.2507,0,0,0,0,638632.5448
10/12/26,10/16/26,Money Management,Multicurrency Settlement,null,0,0,0,0,277690.8586
5/9/22,5/11/22,Money Management,Connect,648931.1056,0,0,0,0,null
12/6/21,12/8/21,Money Management,Capital,222797.0025,0,0,0,0,null
3/2/26,3/3/26,Money Management,Connect,1868609.053,0,0,0,0,1932860.266
1/8/24,1/9/24,Money Management,Capital,206851.4663,0,0,0,0,null
6/9/25,6/12/25,Money Management,Instant Payouts,365410.5973,0,0,0,0,336658.4501
6/29/26,6/29/26,Money Management,Capital,null,0,0,0,0,370965.8872
3/1/21,3/4/21,Money Management,Connect,-6574229.144,0,0,0,0,null
10/23/23,10/29/23,Money Management,Capital,73941.71829,0,0,0,0,null
7/7/25,7/10/25,Money Management,Instant Payouts,390030.8229,0,0,0,0,322933.5059
7/7/25,7/8/25,Money Management,Multicurrency Settlement,265554.7453,0,0,0,0,252322.9553
1/6/25,1/10/25,Money Management,Instant Payouts,177380.8349,0,0,0,0,441503.1244
8/11/25,8/17/25,Money Management,Multicurrency Settlement,109149.0893,0,0,0,0,104023.3628
7/25/22,7/27/22,Money Management,Instant Payouts,176380.9628,0,0,0,0,null
9/28/26,9/29/26,Money Management,Connect,null,0,0,0,0,1802500.288
3/9/26,3/13/26,Money Management,Connect,234332.4464,0,0,0,0,591911.6474
5/23/22,5/26/22,Money Management,Multicurrency Settlement,62085.46864,0,0,0,0,null
9/13/21,9/18/21,Money Management,Connect,14300.49608,0,0,0,0,null
3/31/25,4/1/25,Money Management,Capital,-347530.6,0,0,0,0,178115.3029
12/22/25,12/27/25,Money Management,Instant Payouts,289563.8979,0,0,0,0,359756.3606
6/17/24,6/22/24,Money Management,Multicurrency Settlement,-3.048403264,0,0,0,0,null
6/29/26,6/29/26,Money Management,Multicurrency Settlement,null,0,0,0,0,574851.7749
4/1/24,4/3/24,Money Management,Multicurrency Settlement,221618.4876,0,0,0,0,null
9/13/21,9/14/21,Money Management,Capital,52522.73,0,0,0,0,null
8/8/22,8/11/22,Money Management,Multicurrency Settlement,89933.1446,0,0,0,0,null
6/24/24,6/24/24,Money Management,Capital,231548.636,0,0,0,0,null
7/25/22,7/25/22,Money Management,Multicurrency Settlement,141165.2531,0,0,0,0,null
8/12/24,8/17/24,Money Management,Connect,15002.08287,0,0,0,0,null
5/13/24,5/13/24,Money Management,Capital,212896.1455,0,0,0,0,null
2/14/22,2/16/22,Money Management,Connect,502230.016,0,0,0,0,null
3/18/24,3/23/24,Money Management,Connect,12167.91074,0,0,0,0,null
10/28/24,10/28/24,Money Management,Capital,111877.061,0,0,0,0,null
8/22/22,8/25/22,Money Management,Connect,524260.0163,0,0,0,0,null
10/20/25,10/22/25,Money Management,Multicurrency Settlement,281630.0284,0,0,0,0,352718.4971
8/26/24,8/30/24,Money Management,Multicurrency Settlement,191928.5841,0,0,0,0,null
2/21/22,2/22/22,Money Management,Connect,489854.573,0,0,0,0,null
8/8/22,8/11/22,Money Management,Capital,188482.2766,0,0,0,0,null
10/19/26,10/21/26,Money Management,Instant Payouts,null,0,0,0,0,466662.1558
9/2/24,9/2/24,Money Management,Connect,20208.97195,0,0,0,0,null
5/10/21,5/10/21,Money Management,Instant Payouts,128853.9337,0,0,0,0,null
1/10/22,1/12/22,Money Management,Capital,85824.84616,0,0,0,0,null
6/5/23,6/9/23,Money Management,Instant Payouts,91201.94969,0,0,0,0,null
11/22/21,11/24/21,Money Management,Capital,84634.67246,0,0,0,0,null
5/18/26,5/22/26,Money Management,Multicurrency Settlement,null,0,0,0,0,250812.1337
9/27/21,10/2/21,Money Management,Instant Payouts,154447.904,0,0,0,0,null
4/8/24,4/14/24,Money Management,Connect,20645.90339,0,0,0,0,null
9/9/24,9/15/24,Money Management,Connect,16325.31214,0,0,0,0,null
5/27/24,5/31/24,Money Management,Connect,188170.2251,0,0,0,0,null
12/1/25,12/6/25,Money Management,Instant Payouts,349538.3315,0,0,0,0,403163.1295
9/30/24,10/5/24,Money Management,Multicurrency Settlement,0.171907048,0,0,0,0,null
8/10/26,8/16/26,Money Management,Capital,null,0,0,0,0,118624.6335
4/13/26,4/16/26,Money Management,Instant Payouts,null,0,0,0,0,363042.0493
7/27/26,7/27/26,Money Management,Connect,null,0,0,0,0,1603370.294
9/7/26,9/9/26,Money Management,Multicurrency Settlement,null,0,0,0,0,422288.3162
