reporting_week,reporting_date,product_pillar,product_grouping,[DROPPED] daily_actual_net_revenue,estimated_fy25_2_10_forecast,estimated_fy25_5_7_forecast,estimated_fy25_8_4_forecast,estimated_fy25_budget,estimated_fy26_budget,daily_actual_gross_revenue
12/26/22,12/27/22,Money Management,Other BaaS Products,,0,0,0,0,-3756.57,null
10/25/21,10/25/21,Money Management,Other BaaS Products,,0,0,0,0,-4826.99,null
10/14/24,10/17/24,Money Management,Other BaaS Products,,0,0,0,0,-6098.16,null
5/27/24,5/31/24,Money Management,Faster Payouts,,0,0,0,0,-0.127849629,null
12/5/22,12/5/22,Money Management,Other BaaS Products,,0,0,0,0,-5140.76,null
10/21/24,10/26/24,Money Management,Mass Payouts,,0,0,0,0,2,null
9/30/24,10/1/24,Money Management,Financial Accounts,,0,0,0,0,-624460.12,null
1/20/25,1/22/25,Money Management,Mass Payouts,,0,0,0,0,781.25,0
6/28/21,7/1/21,Money Management,Other BaaS Products,,0,0,0,0,109890.42,null
6/16/25,6/18/25,Money Management,Faster Payouts,,0,0,0,0,19015.10842,0
2/2/26,2/4/26,Money Management,Mass Payouts,,0,0,0,0,34195.94118,0
9/8/25,9/11/25,Money Management,Financial Accounts,,0,0,0,0,-1440827.214,0
9/22/25,9/23/25,Money Management,Other BaaS Products,,0,0,0,0,-3198.22,0
1/9/23,1/10/23,Money Management,Other BaaS Products,,0,0,0,0,-8386.58,null
9/29/25,10/3/25,Money Management,Financial Accounts,,0,0,0,0,-5600.113443,0
5/20/24,5/21/24,Money Management,Other BaaS Products,,0,0,0,0,-6081.04,null
12/25/23,12/27/23,Money Management,Other BaaS Products,,0,0,0,0,-4390.03,null
10/21/24,10/23/24,Money Management,Other BaaS Products,,0,0,0,0,-6423.85,null
9/25/23,10/1/23,Money Management,Other BaaS Products,,0,0,0,0,-13410.88,null
8/25/25,8/28/25,Money Management,Faster Payouts,,0,0,0,0,28592.99252,0
1/29/24,2/3/24,Money Management,Other BaaS Products,,0,0,0,0,-9778.38,null
6/27/22,6/28/22,Money Management,Other BaaS Products,,0,0,0,0,-7878.51,null
4/10/23,4/10/23,Money Management,Other BaaS Products,,0,0,0,0,-4181.93,null
4/17/23,4/19/23,Money Management,Other BaaS Products,,0,0,0,0,-8142.55,null
5/19/25,5/21/25,Money Management,Mass Payouts,,0,0,0,0,727.8871984,0
8/28/23,8/31/23,Money Management,Financial Accounts,,0,0,0,0,1156955.04,null
11/28/22,12/1/22,Money Management,Other BaaS Products,,0,0,0,0,-10973.87,null
